director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes,profit,total
James Cameron,723.0,178.0,0.0,Joel David Moore,1000.0,760505847,Action,CCH Pounder,Avatar,886204,4834,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054.0,English,USA,PG-13,237000000,2009,7.9,1.78,33000,523505847,760505847
Gore Verbinski,302.0,169.0,563.0,Orlando Bloom,40000.0,309404152,Action,Johnny Depp,Pirates of the Caribbean: At World's End,471220,48350,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238.0,English,USA,PG-13,300000000,2007,7.1,2.35,0,9404152,309404152
Sam Mendes,602.0,148.0,0.0,Rory Kinnear,11000.0,200074175,Action,Christoph Waltz,Spectre,275868,11700,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994.0,English,UK,PG-13,245000000,2015,6.8,2.35,85000,-44925825,200074175
Christopher Nolan,813.0,164.0,22000.0,Christian Bale,27000.0,448130642,Action,Tom Hardy,The Dark Knight Rises,1144337,106759,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701.0,English,USA,PG-13,250000000,2012,8.5,2.35,164000,198130642,448130642
Andrew Stanton,462.0,132.0,475.0,Samantha Morton,640.0,73058679,Action,Daryl Sabara,John Carter,212204,1873,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738.0,English,USA,PG-13,263700000,2012,6.6,2.35,24000,-190641321,73058679
Sam Raimi,392.0,156.0,0.0,James Franco,24000.0,336530303,Action,J.K. Simmons,Spider-Man 3,383056,46055,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902.0,English,USA,PG-13,258000000,2007,6.2,2.35,0,78530303,336530303
Nathan Greno,324.0,100.0,15.0,Donna Murphy,799.0,200807262,Adventure,Brad Garrett,Tangled,294810,2036,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387.0,English,USA,PG,260000000,2010,7.8,1.85,29000,-59192738,200807262
Joss Whedon,635.0,141.0,0.0,Robert Downey Jr.,26000.0,458991599,Action,Chris Hemsworth,Avengers: Age of Ultron,462669,92000,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117.0,English,USA,PG-13,250000000,2015,7.5,2.35,118000,208991599,458991599
David Yates,375.0,153.0,282.0,Daniel Radcliffe,25000.0,301956980,Adventure,Alan Rickman,Harry Potter and the Half-Blood Prince,321795,58753,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973.0,English,UK,PG,250000000,2009,7.5,2.35,10000,51956980,301956980
Zack Snyder,673.0,183.0,0.0,Lauren Cohan,15000.0,330249062,Action,Henry Cavill,Batman v Superman: Dawn of Justice,371639,24450,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018.0,English,USA,PG-13,250000000,2016,6.9,2.35,197000,80249062,330249062
Bryan Singer,434.0,169.0,0.0,Marlon Brando,18000.0,200069408,Action,Kevin Spacey,Superman Returns,240396,29991,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367.0,English,USA,PG-13,209000000,2006,6.1,2.35,0,-8930592,200069408
Marc Forster,403.0,106.0,395.0,Mathieu Amalric,451.0,168368427,Action,Giancarlo Giannini,Quantum of Solace,330784,2023,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243.0,English,UK,PG-13,200000000,2008,6.7,2.35,0,-31631573,168368427
Gore Verbinski,313.0,151.0,563.0,Orlando Bloom,40000.0,423032628,Action,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,522040,48486,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832.0,English,USA,PG-13,225000000,2006,7.3,2.35,5000,198032628,423032628
Gore Verbinski,450.0,150.0,563.0,Ruth Wilson,40000.0,89289910,Action,Johnny Depp,The Lone Ranger,181792,45757,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711.0,English,USA,PG-13,215000000,2013,6.5,2.35,48000,-125710090,89289910
Zack Snyder,733.0,143.0,0.0,Christopher Meloni,15000.0,291021565,Action,Henry Cavill,Man of Steel,548573,20495,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536.0,English,USA,PG-13,225000000,2013,7.2,2.35,118000,66021565,291021565
